epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.06428,0.87707,2.86447,1.21125,1,0.98213,0.995,0.92904,0.38199,4.61338,0.83042,0.00014,0.00014,0.00014
2,4.36548,0.80196,1.65863,1.13406,0.89831,0.98306,0.973,0.8257,0.70506,3.78869,1.15584,0.0002901,0.0002901,0.0002901
3,6.37162,0.86816,1.30268,1.15712,0.6555,0.88889,0.84445,0.59543,1.07043,5.61834,1.56559,0.00042964,0.00042964,0.00042964
4,8.33525,0.78871,1.21385,1.09898,0.85714,0.66667,0.79967,0.50043,0.93275,6.73406,1.41547,0.00055862,0.00055862,0.00055862
5,10.273,0.95282,1.39561,1.22359,0.98222,0.66667,0.8499,0.62314,0.96592,3.84091,1.53805,0.00067704,0.00067704,0.00067704
6,12.1492,0.84069,1.1282,1.12825,0.66509,0.88889,0.80936,0.52282,1.0855,8.89706,1.52688,0.0007849,0.0007849,0.0007849
7,14.1248,0.95605,1.26616,1.21729,0.47322,0.55556,0.46176,0.28881,1.25389,4.25524,1.90276,0.0008822,0.0008822,0.0008822
8,16.0464,1.02138,1.18926,1.33834,0.38175,1,0.60396,0.39039,1.16245,3.35439,1.73146,0.00096894,0.00096894,0.00096894
9,17.9502,0.86035,1.11644,1.18656,0.67662,0.69983,0.74229,0.42522,1.40537,2.53983,1.83231,0.00104512,0.00104512,0.00104512
10,19.8035,0.89771,1.06648,1.2028,0.63077,0.77778,0.62083,0.4267,1.24646,1.88528,1.53557,0.00111074,0.00111074,0.00111074
11,21.6784,0.96736,1.02332,1.18902,0.76977,0.77778,0.72272,0.45581,1.32958,1.75296,1.65932,0.0011658,0.0011658,0.0011658
12,23.5617,0.88888,0.96532,1.16821,0.66726,0.66667,0.71667,0.4912,1.38324,2.16919,1.74905,0.0012103,0.0012103,0.0012103
13,25.5037,0.93409,0.97514,1.18745,0.59933,0.88889,0.74848,0.48308,1.42971,1.88305,1.7604,0.001208,0.001208,0.001208
14,27.3721,0.90658,0.95583,1.19491,0.52467,0.88889,0.6534,0.42327,1.16714,1.8783,1.45503,0.001142,0.001142,0.001142
15,29.2061,0.83864,0.84116,1.15237,0.71576,0.77778,0.73048,0.40434,1.13086,2.05719,1.46443,0.001076,0.001076,0.001076
16,31.1008,0.8624,0.81572,1.15876,0.81218,0.66667,0.79484,0.49134,1.06258,1.59544,1.4653,0.00101,0.00101,0.00101
17,32.975,0.90694,0.88585,1.19932,0.63901,0.88889,0.75455,0.50603,1.05472,1.46545,1.47787,0.000944,0.000944,0.000944
18,34.8515,0.80008,0.77232,1.11655,0.88874,0.88768,0.90004,0.5971,1.01339,1.06331,1.43997,0.000878,0.000878,0.000878
19,36.723,0.83778,0.80304,1.1765,0.7866,0.88889,0.86667,0.62352,0.91291,0.9698,1.38091,0.000812,0.000812,0.000812
20,38.5992,0.85483,0.82109,1.13524,0.77502,0.76676,0.83175,0.62493,0.89925,0.99861,1.34003,0.000746,0.000746,0.000746
21,40.4981,0.66058,0.65492,0.99947,0.79854,0.55556,0.72786,0.57568,0.83911,1.13327,1.28679,0.00068,0.00068,0.00068
22,42.3164,0.66499,0.71545,1.04613,0.64609,0.77778,0.77124,0.60176,0.79992,1.09963,1.20694,0.000614,0.000614,0.000614
23,44.2438,0.65615,0.61622,1.00097,0.63658,0.97462,0.78521,0.63437,0.74236,0.9285,1.13343,0.000548,0.000548,0.000548
24,46.0418,0.59672,0.57965,0.96089,0.67992,1,0.78015,0.59888,0.83542,0.92285,1.21514,0.000482,0.000482,0.000482
25,47.8414,0.61357,0.63765,0.99545,0.6381,1,0.80905,0.60352,0.94831,0.90293,1.29297,0.000416,0.000416,0.000416
26,49.6762,0.64023,0.60086,1.07063,0.67648,1,0.8355,0.56896,0.93944,0.90092,1.31662,0.00035,0.00035,0.00035
27,51.5657,0.60974,0.61731,1.02345,0.79597,1,0.895,0.65231,0.88265,0.88105,1.28942,0.000284,0.000284,0.000284
28,53.4674,0.5611,0.5231,0.99404,0.63538,1,0.85183,0.63359,0.87114,0.85464,1.28595,0.000218,0.000218,0.000218
29,55.3992,0.55394,0.49053,0.96093,0.68529,1,0.8899,0.64104,0.82153,0.81469,1.24412,0.000152,0.000152,0.000152
30,57.3047,0.52813,0.54407,0.94372,0.81045,1,0.93833,0.65276,0.85971,0.7783,1.28064,8.6e-05,8.6e-05,8.6e-05
